Date,Close,High,Low,Open,Volume
,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK
2020-01-02,5820.927734375,5899.236179232063,5812.226796057548,5825.278203533726,49445000
2020-01-03,5916.6376953125,5916.6376953125,5851.380661908318,5873.133006376378,47755500
2020-01-06,5860.08154296875,5873.132949523246,5820.927323305262,5847.030136414253,27300000
2020-01-07,5864.43115234375,5890.533961627179,5855.73021591594,5860.080684129845,45022500
2020-01-08,5812.22607421875,5868.782166258304,5803.525136981895,5803.525136981895,53692500
2020-01-09,5864.43115234375,5877.482556985465,5855.73021591594,5864.43115234375,40363500
2020-01-10,5851.380859375,5938.39024018355,5838.329452253717,5886.18461169842,73362000
2020-01-13,5868.783203125,5881.834611286138,5860.082264350908,5864.432733737954,67855000
2020-01-14,5977.54345703125,5990.5948619592655,5864.431280988446,5868.781749297785,93582000
2020-01-15,5947.0908203125,6142.8619153483905,5916.637538862473,5977.544101762528,75623500
2020-01-16,5960.14208984375,5994.945839273495,5912.286934377851,5920.987871735288,88931500
2020-01-17,5981.89453125,5994.9459375,5916.6375,5951.44125,38249500
2020-01-20,5947.0908203125,6068.90394611261,5942.740351533925,6047.151602219733,93554500
2020-01-21,5942.740234375,5999.296327381497,5938.389765682193,5990.595389995882,103984500
2020-01-22,5951.44140625,5999.296563756397,5947.090937385782,5964.492812842654,94311500
2020-01-23,5951.44140625,5999.296563756397,5942.740468521564,5990.595626027961,87728000
2020-01-24,5925.33837890625,5986.244940803965,5925.33837890625,5934.039316320209,69653500
2020-01-27,5951.44140625,6038.450783534357,5929.689061928911,5973.193750571089,39679000
2020-01-28,5907.93603515625,5955.791187134688,5877.482756624517,5947.090250411336,82615000
2020-01-29,5903.58642578125,5955.792053717414,5890.535018797209,5916.637832765291,43821000
2020-01-30,5864.43115234375,5955.790984835752,5855.73021591594,5955.790984835752,71990000
2020-01-31,5638.20751953125,5920.987989260826,5638.20751953125,5916.637520495756,163136500
2020-02-03,5603.404296875,5729.567902938179,5542.497728430706,5638.208050271739,149797000
2020-02-04,5742.61865234375,5760.020527047822,5673.011153527462,5716.515840287641,113316500
2020-02-05,5855.73095703125,5899.235644676356,5786.1234567990805,5899.235644676356,123002500
2020-02-06,5864.43115234375,5899.234898054989,5812.225533776891,5864.43115234375,154693500
2020-02-07,5881.83349609375,5899.235370342548,5833.978341909556,5838.328810471755,82609000
2020-02-10,5903.58642578125,5903.58642578125,5768.7218869461585,5881.834080807848,66578500
2020-02-11,5899.2353515625,5903.585820110849,5868.78207172405,5903.585820110849,77526500
2020-02-12,5916.6376953125,5916.6376953125,5881.833944163603,5916.6376953125,69971500
2020-02-13,5907.93603515625,5934.038845326307,5864.431351539488,5934.038845326307,49737000
2020-02-14,5812.22607421875,5912.286852442576,5807.875605600322,5899.235446587294,147028500
